DATE,ROUTE,RIDE_TYPE,DISTANCE,AVG_SPEED,WEIGHT,BMI,LAST_SLEEP
2022-10-15,ZUBE STOKES,ROAD CYCLING,42.99,15.3,173.1,25.6,7.0
2022-10-18,BARCELONA,TRAINER,13.06,15.0,171.5,25.4,7.0
2022-10-19,AMSTERDAM,TRAINER,21.72,17.0,172.6,25.6,6.25
